Language,Topic,Question,A,B,C,D,Answer,Upvotes,Downvotes
Malayalam,Mathematics,15-6 എത്ര?,7,8,9,10,C. 9,1,
Malayalam,Mathematics,5×3 എത്ര?,15,20,25,30,A. 15,1,
Malayalam,Mathematics,16 ÷ 4 എത്ര?,3,4,5,6,B. 4,1,
Malayalam,Mathematics,3² (സ്ക്വയർ) എത്ര?,6,7,9,11,C. 9,1,
Malayalam,Mathematics,8 ന്റെ ഘടകങ്ങൾ ഏതെല്ലാം?,"1, 2, 2004","1, 3, 2004","1, 2, 2003","2, 4, 2006","A. 1, 2, 4",1,
Malayalam,Mathematics,45 ഏത് സംഖ്യയുടെ ചതുരശ്രയാണ്?,5,6,7,8,C. 7,1,
Malayalam,Mathematics,ഒരു സമത്രികോണത്തിന്റെ മൊത്തം കോണം എത്ര ഡിഗ്രി?,90°,180°,270°,360°,B. 180°,1,
Malayalam,Mathematics,ഒരു വർഗത്തിന്റെ പരിധി 20 സെ.മീ. എങ്കിൽ ഒരു വശം എത്ര?,4 സെ.മീ.,5 സെ.മീ.,6 സെ.മീ.,7 സെ.മീ.,B. 5 സെ.മീ.,1,
Malayalam,Mathematics,ഒരു ദശാംശം എങ്ങനെ ശതമാനമായി മാറ്റാം?,ഗുണിക്കുക 10 കൊണ്ട്,ഗുണിക്കുക 100 കൊണ്ട്,ഗുണിക്കുക 1000 കൊണ്ട്,ഹരിക്കുക 100 കൊണ്ട്,B. ഗുണിക്കുക 100 കൊണ്ട്,1,
Malayalam,Mathematics,0.75 ശതമാനം ഏത് ദശാംശമാണ്?,0.075,0.75,7.5,75,B. 0.75,1,
Malayalam,Mathematics,ഒരു ദശാബ്ദിയിൽ എത്ര വർഷങ്ങൾ ഉണ്ട്?,5,10,50,100,B. 10,1,
Malayalam,Mathematics,"ഒരു മാതൃകയിൽ 5:2 എന്ന അനുപാതത്തിൽ ആണെങ്കിൽ, 35 എങ്കിൽ ചെറിയ സംഖ്യ എത്ര?",7,10,14,20,C. 14,1,
Malayalam,Mathematics,എത്ര സംഖ്യകളാണ് നാലിന്റെയും എട്ടിന്റെയും സാധാരണ മടക്കു സംഖ്യകൾ?,2,4,6,8,B. 4,1,
Malayalam,Mathematics,0.6 എന്ന ദശാംശം എത്ര ശതമാനമാണ്?,6%,60%,600%,0.60%,B. 60%,0,1
Malayalam,Literature,"""രണ്ടാമൂഴം"" എന്ന നോവൽ രചിച്ചത് ആര്?",ഒ.വി. വിജയൻ,എം.ടി. വാസുദേവൻ നായർ,ബഷീർ,കമല സുരയ്യ,B. എം.ടി. വാസുദേവൻ നായർ,1,
Malayalam,Literature,"""ഇന്ദുലേഖ"" എന്ന നോവൽ ആരുടെ കൃതിയാണ്?",ചങ്ങമ്പുഴ,ഒ. ചന്തുമെനോൻ,കുഞ്ഞുണ്ണി മാഷ്,സുഗതകുമാരി,B. ഒ. ചന്തുമെനോൻ,1,
Malayalam,Literature,"""കുഞ്ഞുണ്ണി മാഷിന്റെ"" പ്രസിദ്ധ കവിതകൾ ഏതെല്ലാം?",മഴക്കവിതകൾ,വിഷുക്കവിതകൾ,ഓണക്കവിതകൾ,സ്കൂൾ കവിതകൾ,A. മഴക്കവിതകൾ,1,
Malayalam,Literature,"""ചെമ്മീൻ"" എന്ന നോവലിന്റെ രചയിതാവ് ആര്?",വൈക്കം മുഹമ്മദ് ബഷീർ,തകഴി,എസ്.കെ. പൊറ്റേക്കാട്ട്,എം. മുകുന്ദൻ,B. തകഴി,1,
Malayalam,Literature,"""ജാതിക്ക തോട്ടം"" എന്ന കവിതാ സമാഹാരം രചിച്ചത് ആര്?",കെ. സച്ചിദാനന്ദൻ,സുഗതകുമാരി,ബാലാമണിയമ്മ,ഒ.എൻ.വി. കുറുപ്പ്,C. ബാലാമണിയമ്മ,1,
Malayalam,Literature,"""ആടുജീവിതം"" എന്ന നോവൽ രചിച്ചത് ആര്?",ബെന്യാമിൻ,എം.മുകുന്ദൻ,വൈക്കം മുഹമ്മദ് ബഷീർ,കെ. സച്ചിദാനന്ദൻ,A. ബെന്യാമിൻ,1,
Malayalam,Literature,"""ഒരു ദേശത്തിന്റെ കഥ"" എന്ന നോവൽ ആരുടെ കൃതിയാണ്?",സി.വി. രാമൻപിള്ള,എം.ടി. വാസുദേവൻ നായർ,എസ്.കെ. പൊറ്റേക്കാട്ട്,തകഴി,A. സി.വി. രാമൻപിള്ള,1,
Malayalam,Literature,"""പാത്തുമ്മയുടെ ആട്"" നോവലിലെ പ്രധാന കഥാപാത്രം ആര്?",പാത്തുമ്മ,കരുത്തമ്മ,കുഞ്ഞമ്മ,റസിയ,A. പാത്തുമ്മ,1,
Malayalam,Literature,"""അനാർക്കലി"" എന്ന നാടകം രചിച്ചത് ആര്?",കെ. സച്ചിദാനന്ദൻ,എൻ.കെ. ദേശം,കെ.ടി. മുഹമ്മദ്,വയലാർ രാമവർമ്മ,C. കെ.ടി. മുഹമ്മദ്,1,
Malayalam,Literature,"""നാലുകെട്ട്"" എന്ന നോവൽ ആരുടെ കൃതിയാണ്?",കമല സുരയ്യ,സി. രാധാകൃഷ്ണൻ,ഒ.വി. വിജയൻ,ഉറൂബ്,B. സി. രാധാകൃഷ്ണൻ,1,
Malayalam,Social Science,ഇന്ത്യയുടെ തലസ്ഥാനം ഏത്?,മുംബൈ,കൊൽക്കത്ത,ന്യൂ ഡൽഹി,ചെന്നൈ,C. ന്യൂ ഡൽഹി,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും വലിയ നദി ഏത്?,യമുന,ഗംഗ,ഗോദാവരി,കാവേരി,B. ഗംഗ,1,
Malayalam,Social Science,താജ്മഹൽ ഏത് സംസ്ഥാനത്താണ്?,ഉത്തർപ്രദേശ്,മധ്യപ്രദേശ്,രാജസ്ഥാൻ,ബിഹാർ,A. ഉത്തർപ്രദേശ്,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും ഉയരം കൂടിയ പർവ്വതം ഏത്?,കാഞ്ചൻജംഗ,നന്ദാ ദേവി,ഗോദ്വിൻ ഓസ്റ്റിൻ,നീലകണ്ഠൻ,C. ഗോദ്വിൻ ഓസ്റ്റിൻ,1,
Malayalam,Social Science,കേരളത്തിലെ വലിയ ജില്ല ഏത്?,പാലക്കാട്,മലപ്പുറം,ഇടുക്കി,കോഴിക്കോട്,A. പാലക്കാട്,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും തെക്ക് കടലോര നഗരം ഏത്?,ചെന്നൈ,തിരുവനന്തപുരം,കൊച്ചി,കന്യാകുമാരി,D. കന്യാകുമാരി,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും വലിയ കായൽ ഏത്?,ചിലിക കായൽ,വേമ്പനാട് കായൽ,പുലികട്ട് കായൽ,അഷ്ടമുടി കായൽ,B. വേമ്പനാട് കായൽ,1,
Malayalam,Social Science,ഇന്ത്യയിൽ ഏറ്റവും നീളം കൂടിയ നദി ഏത്?,യമുന,സിന്ധു,ഗോദാവരി,ബ്രഹ്മപുത്ര,C. ഗോദാവരി,0,1
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും ചൂടുള്ള സ്ഥലം ഏത്?,ജയ്സൽമേർ,അലഹാബാദ്,ചുരു,കോട്ടയം,C. ചുരു,1,
Malayalam,Social Science,ദക്ഷിണേന്ത്യൻ നദികളിൽ ഏറ്റവും നീളമുള്ളത് ഏത്?,കാവേരി,കൃഷ്ണ,ഗോദാവരി,തുംഗഭദ്ര,C. ഗോദാവരി,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും വലിയ മരുഭൂമി ഏത്?,താർ മരുഭൂമി,ദേവ്‌സാനി മരുഭൂമി,കച്ഛ് മരുഭൂമി,ലഡാക്ക് മരുഭൂമി,A. താർ മരുഭൂമി,1,
Malayalam,Social Science,ഇന്ത്യയിലെ ഏറ്റവും വലിയ കടൽത്തീരം ഉള്ള സംസ്ഥാനം ഏത്?,ഗുജറാത്ത്,തമിഴ്‌നാട്,ആന്ധ്രപ്രദേശ്,മഹാരാഷ്ട്ര,A. ഗുജറാത്ത്,1,
